timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1694211157572,229,login,201,Created,Open Model Thread Group 1-2811,text,true,,1086,285,9,9,https://testslotegrator.com/api/tester/login,229,0,148
1694211157600,231,login,201,Created,Open Model Thread Group 1-2812,text,true,,1086,285,9,9,https://testslotegrator.com/api/tester/login,231,0,149
1694211157609,230,login,201,Created,Open Model Thread Group 1-2813,text,true,,1086,285,9,9,https://testslotegrator.com/api/tester/login,230,0,149
1694211157630,238,login,201,Created,Open Model Thread Group 1-2814,text,true,,1086,285,10,10,https://testslotegrator.com/api/tester/login,238,0,152
1694211157378,486,getAll,200,OK,Open Model Thread Group 1-2800,text,true,,273790,556,9,9,https://testslotegrator.com/api/automationTask/getAll,264,0,0
1694211157712,254,login,201,Created,Open Model Thread Group 1-2815,text,true,,1086,285,10,10,https://testslotegrator.com/api/tester/login,254,0,150
1694211157831,179,getOne,201,Created,Open Model Thread Group 1-2812,text,true,,397,609,11,11,https://testslotegrator.com/api/automationTask/getOne,179,0,0
1694211157869,141,getOne,201,Created,Open Model Thread Group 1-2814,text,true,,404,611,11,11,https://testslotegrator.com/api/automationTask/getOne,141,0,0
1694211157840,171,getOne,201,Created,Open Model Thread Group 1-2813,text,true,,399,609,10,10,https://testslotegrator.com/api/automationTask/getOne,171,0,0
1694211157781,239,login,201,Created,Open Model Thread Group 1-2816,text,true,,1086,285,9,9,https://testslotegrator.com/api/tester/login,239,0,146
1694211157581,455,getAll,200,OK,Open Model Thread Group 1-2806,text,true,,273790,556,9,9,https://testslotegrator.com/api/automationTask/getAll,234,0,0
1694211157966,83,getOne,201,Created,Open Model Thread Group 1-2815,text,true,,397,610,8,8,https://testslotegrator.com/api/automationTask/getOne,83,0,0
1694211158010,83,login,201,Created,Open Model Thread Group 1-2812,text,true,,1086,285,7,7,https://testslotegrator.com/api/tester/login,83,0,0
1694211157868,228,login,201,Created,Open Model Thread Group 1-2817,text,true,,1086,285,7,7,https://testslotegrator.com/api/tester/login,228,0,147
1694211157937,275,login,201,Created,Open Model Thread Group 1-2818,text,true,,1086,285,8,8,https://testslotegrator.com/api/tester/login,275,0,147
1694211158097,116,getOne,201,Created,Open Model Thread Group 1-2817,text,true,,400,609,8,8,https://testslotegrator.com/api/automationTask/getOne,116,0,0
1694211157972,241,login,201,Created,Open Model Thread Group 1-2819,text,true,,1086,285,8,8,https://testslotegrator.com/api/tester/login,241,0,146
1694211157771,471,getAll,200,OK,Open Model Thread Group 1-2810,text,true,,273790,556,7,7,https://testslotegrator.com/api/automationTask/getAll,250,0,0
1694211158214,84,getOne,201,Created,Open Model Thread Group 1-2819,text,true,,403,612,8,8,https://testslotegrator.com/api/automationTask/getOne,84,0,0
1694211158212,87,getOne,201,Created,Open Model Thread Group 1-2818,text,true,,399,609,8,8,https://testslotegrator.com/api/automationTask/getOne,87,0,0
1694211157801,502,getAll,200,OK,Open Model Thread Group 1-2811,text,true,,273790,556,7,7,https://testslotegrator.com/api/automationTask/getAll,281,0,0
1694211158146,233,login,201,Created,Open Model Thread Group 1-2820,text,true,,1086,285,8,8,https://testslotegrator.com/api/tester/login,233,0,148
1694211158299,83,login,201,Created,Open Model Thread Group 1-2818,text,true,,1086,285,8,8,https://testslotegrator.com/api/tester/login,83,0,0
1694211158252,228,login,201,Created,Open Model Thread Group 1-2821,text,true,,1086,285,9,9,https://testslotegrator.com/api/tester/login,228,0,146
1694211158020,469,getAll,200,OK,Open Model Thread Group 1-2816,text,true,,273790,556,10,10,https://testslotegrator.com/api/automationTask/getAll,249,0,0
1694211158093,489,getAll,200,OK,Open Model Thread Group 1-2812,text,true,,273790,556,9,9,https://testslotegrator.com/api/automationTask/getAll,268,0,0
1694211158295,321,login,201,Created,Open Model Thread Group 1-2822,text,true,,1086,285,10,10,https://testslotegrator.com/api/tester/login,321,0,146
1694211158369,247,login,201,Created,Open Model Thread Group 1-2824,text,true,,1086,285,10,10,https://testslotegrator.com/api/tester/login,247,0,146
1694211158359,257,login,201,Created,Open Model Thread Group 1-2823,text,true,,1086,285,10,10,https://testslotegrator.com/api/tester/login,257,0,149
1694211158481,136,getOne,201,Created,Open Model Thread Group 1-2821,text,true,,399,609,10,10,https://testslotegrator.com/api/automationTask/getOne,136,0,0
1694211158388,231,login,201,Created,Open Model Thread Group 1-2825,text,true,,1086,285,9,9,https://testslotegrator.com/api/tester/login,231,0,149
1694211158590,82,login,201,Created,Open Model Thread Group 1-2812,text,true,,1086,285,11,11,https://testslotegrator.com/api/tester/login,82,0,0
1694211158617,84,getOne,201,Created,Open Model Thread Group 1-2824,text,true,,399,612,12,12,https://testslotegrator.com/api/automationTask/getOne,84,0,0
1694211158617,84,getOne,201,Created,Open Model Thread Group 1-2822,text,true,,403,610,12,12,https://testslotegrator.com/api/automationTask/getOne,84,0,0
1694211158619,84,getOne,201,Created,Open Model Thread Group 1-2825,text,true,,398,606,11,11,https://testslotegrator.com/api/automationTask/getOne,84,0,0
1694211158487,234,login,201,Created,Open Model Thread Group 1-2826,text,true,,1086,285,10,10,https://testslotegrator.com/api/tester/login,234,0,148
1694211158672,137,create new user,201,Created,Open Model Thread Group 1-2812,text,true,,465,774,12,12,https://testslotegrator.com/api/automationTask/create,137,0,0
1694211158702,118,login,201,Created,Open Model Thread Group 1-2822,text,true,,1086,285,12,12,https://testslotegrator.com/api/tester/login,118,0,0
1694211158595,229,login,201,Created,Open Model Thread Group 1-2827,text,true,,1086,285,12,12,https://testslotegrator.com/api/tester/login,229,0,147
1694211158379,471,getAll,200,OK,Open Model Thread Group 1-2820,text,true,,273790,556,12,12,https://testslotegrator.com/api/automationTask/getAll,250,0,0
1694211158382,518,getAll,200,OK,Open Model Thread Group 1-2818,text,true,,273790,556,14,14,https://testslotegrator.com/api/automationTask/getAll,297,0,0
1694211158646,287,login,201,Created,Open Model Thread Group 1-2830,text,true,,1086,285,14,14,https://testslotegrator.com/api/tester/login,287,0,146
1694211158630,303,login,201,Created,Open Model Thread Group 1-2829,text,true,,1086,285,14,14,https://testslotegrator.com/api/tester/login,303,0,151
1694211158825,109,getOne,201,Created,Open Model Thread Group 1-2827,text,true,,399,608,14,14,https://testslotegrator.com/api/automationTask/getOne,109,0,0
1694211158694,240,login,201,Created,Open Model Thread Group 1-2831,text,true,,1086,285,14,14,https://testslotegrator.com/api/tester/login,240,0,150
1694211158907,127,login,201,Created,Open Model Thread Group 1-2818,text,true,,1086,285,14,14,https://testslotegrator.com/api/tester/login,127,0,0
1694211158767,268,login,201,Created,Open Model Thread Group 1-2832,text,true,,1086,285,14,14,https://testslotegrator.com/api/tester/login,268,0,149
1694211158790,245,login,201,Created,Open Model Thread Group 1-2833,text,true,,1086,285,14,14,https://testslotegrator.com/api/tester/login,245,0,148
1694211158934,101,getOne,201,Created,Open Model Thread Group 1-2831,text,true,,401,610,14,14,https://testslotegrator.com/api/automationTask/getOne,101,0,0
1694211158933,102,getOne,201,Created,Open Model Thread Group 1-2829,text,true,,405,612,14,14,https://testslotegrator.com/api/automationTask/getOne,102,0,0
1694211158813,239,login,201,Created,Open Model Thread Group 1-2834,text,true,,1086,285,12,12,https://testslotegrator.com/api/tester/login,239,0,150
1694211158617,485,getAll,200,OK,Open Model Thread Group 1-2823,text,true,,273790,556,13,13,https://testslotegrator.com/api/automationTask/getAll,265,0,0
1694211158871,252,login,201,Created,Open Model Thread Group 1-2835,text,true,,1086,285,12,12,https://testslotegrator.com/api/tester/login,252,0,146
1694211159035,89,getOne,201,Created,Open Model Thread Group 1-2833,text,true,,397,608,12,12,https://testslotegrator.com/api/automationTask/getOne,89,0,0
1694211159035,91,getOne,201,Created,Open Model Thread Group 1-2832,text,true,,399,607,11,11,https://testslotegrator.com/api/automationTask/getOne,91,0,0
1694211158899,230,login,201,Created,Open Model Thread Group 1-2837,text,true,,1086,285,10,10,https://testslotegrator.com/api/tester/login,230,0,150
1694211158896,233,login,201,Created,Open Model Thread Group 1-2836,text,true,,1086,285,10,10,https://testslotegrator.com/api/tester/login,233,0,148
1694211159034,95,create new user,201,Created,Open Model Thread Group 1-2818,text,true,,461,770,10,10,https://testslotegrator.com/api/automationTask/create,95,0,0
1694211159053,84,getOne,201,Created,Open Model Thread Group 1-2834,text,true,,403,610,9,9,https://testslotegrator.com/api/automationTask/getOne,84,0,0
1694211159123,82,getOne,201,Created,Open Model Thread Group 1-2835,text,true,,395,608,12,12,https://testslotegrator.com/api/automationTask/getOne,82,0,0
1694211158721,479,getAll,200,OK,Open Model Thread Group 1-2826,text,true,,273928,556,11,11,https://testslotegrator.com/api/automationTask/getAll,257,0,0
1694211159129,83,getOne,201,Created,Open Model Thread Group 1-2837,text,true,,401,611,10,10,https://testslotegrator.com/api/automationTask/getOne,83,0,0
1694211159137,80,login,201,Created,Open Model Thread Group 1-2834,text,true,,1086,285,9,9,https://testslotegrator.com/api/tester/login,80,0,0
1694211159003,229,login,201,Created,Open Model Thread Group 1-2838,text,true,,1086,285,9,9,https://testslotegrator.com/api/tester/login,229,0,146
1694211159077,233,login,201,Created,Open Model Thread Group 1-2840,text,true,,1086,285,13,13,https://testslotegrator.com/api/tester/login,233,0,147
1694211158820,494,getAll,200,OK,Open Model Thread Group 1-2822,text,true,,273928,556,13,13,https://testslotegrator.com/api/automationTask/getAll,273,0,0
1694211159237,227,login,201,Created,Open Model Thread Group 1-2844,text,true,,1086,285,15,15,https://testslotegrator.com/api/tester/login,227,0,146
1694211159184,276,login,201,Created,Open Model Thread Group 1-2842,text,true,,1086,285,15,15,https://testslotegrator.com/api/tester/login,276,0,149
1694211159310,150,getOne,201,Created,Open Model Thread Group 1-2840,text,true,,398,608,15,15,https://testslotegrator.com/api/automationTask/getOne,150,0,0
1694211159150,310,login,201,Created,Open Model Thread Group 1-2841,text,true,,1086,285,15,15,https://testslotegrator.com/api/tester/login,310,0,148
1694211159203,257,login,201,Created,Open Model Thread Group 1-2843,text,true,,1086,285,15,15,https://testslotegrator.com/api/tester/login,257,0,148
1694211159324,135,login,201,Created,Open Model Thread Group 1-2822,text,true,,1086,285,15,15,https://testslotegrator.com/api/tester/login,135,0,0
1694211158933,546,getAll,200,OK,Open Model Thread Group 1-2830,text,true,,273928,556,14,14,https://testslotegrator.com/api/automationTask/getAll,252,0,0
1694211159276,229,login,201,Created,Open Model Thread Group 1-2846,text,true,,1086,285,13,13,https://testslotegrator.com/api/tester/login,229,0,147
1694211159276,229,login,201,Created,Open Model Thread Group 1-2845,text,true,,1086,285,13,13,https://testslotegrator.com/api/tester/login,229,0,147
1694211159296,231,login,201,Created,Open Model Thread Group 1-2847,text,true,,1086,285,13,13,https://testslotegrator.com/api/tester/login,231,0,149
1694211159469,84,getOne,201,Created,Open Model Thread Group 1-2843,text,true,,403,613,14,14,https://testslotegrator.com/api/automationTask/getOne,84,0,0
1694211159469,86,getOne,201,Created,Open Model Thread Group 1-2842,text,true,,402,609,13,13,https://testslotegrator.com/api/automationTask/getOne,86,0,0
1694211159469,86,getOne,201,Created,Open Model Thread Group 1-2844,text,true,,399,610,13,13,https://testslotegrator.com/api/automationTask/getOne,86,0,0
1694211159469,90,create new user,201,Created,Open Model Thread Group 1-2822,text,true,,463,772,11,11,https://testslotegrator.com/api/automationTask/create,90,0,0
1694211159505,82,getOne,201,Created,Open Model Thread Group 1-2846,text,true,,404,612,12,12,https://testslotegrator.com/api/automationTask/getOne,82,0,0
1694211159129,465,getAll,200,OK,Open Model Thread Group 1-2836,text,true,,274062,556,11,11,https://testslotegrator.com/api/automationTask/getAll,244,0,0
1694211159360,289,login,201,Created,Open Model Thread Group 1-2848,text,true,,1086,285,10,10,https://testslotegrator.com/api/tester/login,289,0,149
1694211159527,133,getOne,201,Created,Open Model Thread Group 1-2847,text,true,,397,609,10,10,https://testslotegrator.com/api/automationTask/getOne,133,0,0
1694211159233,461,getAll,200,OK,Open Model Thread Group 1-2838,text,true,,274062,556,9,9,https://testslotegrator.com/api/automationTask/getAll,240,0,0
1694211159218,524,getAll,200,OK,Open Model Thread Group 1-2834,text,true,,274062,556,8,8,https://testslotegrator.com/api/automationTask/getAll,304,0,0
1694211159530,231,login,201,Created,Open Model Thread Group 1-2850,text,true,,1086,285,8,8,https://testslotegrator.com/api/tester/login,231,0,147
